brightness,cam0_lidar_skew_ms,cam0_sensor_time_ns,cam1_lidar_skew_ms,cam1_sensor_time_ns,depth_valid_ratio,dynamic_ratio,filter_input_ratio,filter_output_ratio,filter_rejected_ratio,lidar_sensor_time_ns,lr_consistency,map_x_m,map_y_m,map_yaw_deg,map_z_m,mean_confidence,median_depth_m,prepared_frame,raw_epipolar_matches,raw_epipolar_median_px,raw_epipolar_p95_px,rectified_epipolar_matches,rectified_epipolar_median_px,rectified_epipolar_p95_px,selected_frame,selection_reason,semantic_label_count,semantic_nonzero_ratio,sharpness,source_frame,split,stereo_delta_ms,temporal_agreement,unknown_ratio
114.33310221354166,19.016195,1784879108941004609,29.026753,1784879108951015167,,,,,,1784879108921988414,,10.526899254025324,-0.8430121962126843,-13.794235087701352,0.02955609350993388,,,,703,2.334136962890625,9.045443725585935,0,,,,,,,379.71845214826794,473,calibration,10.010558,,
113.97539632161458,-13.453531,1784879109008577039,-12.070223,1784879109009960347,0.903447265625,0.05026041666666667,0.903447265625,0.8886759440104167,0.016349954420820136,1784879109022030570,0.903447265625,10.576148066518757,-0.8528698925293232,-13.559646462588363,0.028490532388136793,0.9489895105361938,2.30771541595459,448,715,2.436004638671875,8.787435913085936,766,0.25604248046875,1.57318115234375,293,pose_motion,12,0.6764884440104166,349.66373092282544,474,calibration,1.383308,0.8856277281907616,0.24526041666666668
114.02079182942708,24.154033,1784879109146233003,22.883408,1784879109144962378,0.91420654296875,0.0346875,0.91420654296875,0.894013671875,0.022087865427189626,1784879109122078970,0.91420654296875,10.622793324863562,-0.8580212603672517,-13.241954101252453,0.027116446498755387,0.9415802955627441,2.3142762184143066,449,760,2.28204345703125,8.41186180114746,835,0.274444580078125,1.5913085937499987,294,pose_motion,12,0.6764884440104166,354.60098544692926,475,calibration,1.270625,0.887038200456628,0.18473958333333335
113.86881103515626,-12.663536,1784879109209989875,-13.984158,1784879109208669253,0.918916015625,0.00609375,0.918916015625,0.8790169270833333,0.043419733537378095,1784879109222653411,0.9189175112589701,10.671197310857261,-0.8703874935397216,-12.978961555474068,0.026959365072185364,0.9488662481307983,2.2261765003204346,450,756,2.2712631225585938,8.709716796875,732,0.2641448974609375,1.7510986328125,295,image_event_at_static_pose,13,0.6597111002604167,385.5746813973527,476,calibration,1.320622,0.8579495744850075,0.14713541666666666
114.45523763020833,23.33024,1784879109344982939,21.889235,1784879109343541934,0.9354939778645833,0.029791666666666668,0.9354939778645833,0.8846305338541667,0.05437068031856359,1784879109321652699,0.9354939778645833,10.712865138049835,-0.8807483519063465,-12.700175582961561,0.025944340869176206,0.946694552898407,2.2580227851867676,451,786,2.3715057373046875,9.33697509765625,826,0.26938629150390625,1.69049072265625,296,pose_motion,13,0.6597111002604167,360.3643611529341,477,calibration,1.441005,0.8786060953184819,0.20916666666666667
114.58525472005208,-12.822802,1784879109409158565,-17.051428,1784879109404929939,0.9132682291666666,0.004114583333333333,0.9132682291666666,0.88490478515625,0.031057079513537405,1784879109421981367,0.9132697156082611,10.756025032988568,-0.8941585307585984,-12.182044430343383,0.023163186577562403,0.9391697645187378,2.3200197219848633,452,770,2.3156585693359375,9.360573577880855,817,0.281341552734375,1.8279998779296842,297,image_event_at_static_pose,13,0.6597111002604167,332.78211911964155,478,calibration,4.228626,0.8570485962191944,0.155
115.0666064453125,21.469468,1784879109543003795,20.488109,1784879109542022436,0.8952286783854166,0.04604166666666667,0.8952286783854166,0.8856266276041667,0.010725807844502604,1784879109521534327,0.8952286783854166,10.803737725960078,-0.9020878390573064,-11.741331263577614,0.023513496163352195,0.9308822154998779,2.379020929336548,453,772,2.3495330810546875,9.39575729370117,842,0.2804412841796875,1.634521484374998,298,pose_motion,12,0.7598209635416666,350.2401985356544,479,calibration,0.981359,0.8439092027980744,0.21541666666666667
115.32131754557291,-15.545427,1784879109606696030,-18.056509,1784879109604184948,0.9202872721354166,0.00734375,0.9202872721354166,0.8796142578125,0.04419599787416357,1784879109622241457,0.9202872721354166,10.852379685657525,-0.9142723917652278,-11.408912601270606,0.025024845035161572,0.9582213163375854,2.3208768367767334,454,756,2.3061676025390625,9.969839096069336,800,0.2720985412597656,1.5086105346679684,299,image_event_at_static_pose,12,0.7598209635416666,360.43445449966595,480,calibration,2.511082,0.8383232564906722,0.16223958333333333
115.89730631510416,19.104773,1784879109739890421,20.9225,1784879109741708148,0.93509033203125,0.05921875,0.93509033203125,0.9175919596354166,0.018713028887618263,1784879109720785648,0.93509033203125,10.898216953651453,-0.9257118407411699,-11.354338854018337,0.027531775432456006,0.9445883631706238,2.213735580444336,455,740,2.503570556640625,10.462805938720699,755,0.29437255859375,1.487100219726562,300,pose_motion,12,0.7598209635416666,379.8639591409038,481,calibration,1.817727,0.9291235525991624,0.20359375
116.28440266927083,-11.454844,1784879109809037766,-14.446773,1784879109806045837,0.9171061197916667,0.026822916666666665,0.9171061197916667,0.9031298828125,0.015239498109925994,1784879109820492610,0.9171061197916667,10.95369875778924,-0.9334053550684751,-10.96818885907498,0.02546232643007417,0.9350666403770447,2.267622947692871,456,740,2.3983612060546875,10.403750610351562,755,0.276611328125,1.7035278320312495,301,image_event_at_static_pose,12,0.7462727864583333,320.9070985735514,482,calibration,2.991929,0.850408110384142,0.12338541666666666
